 Sample   Time     Encoder 2 Pos   Encoder 4 Pos   Control Effort 2

[    0    0.000             -40              47          0.0656;
     1    0.044              47              41          2.1633;
     2    0.089             246               1          1.7332;
     3    0.133             404             -83          1.6343;
     4    0.177             417            -187          1.8764;
     5    0.221             307            -279          2.2067;
     6    0.266             177            -340          2.3883;
     7    0.310             123            -379          2.3031;
     8    0.354             177            -418          2.0623;
     9    0.398             271            -475          1.8889;
    10    0.443             328            -551          1.8956;
    11    0.487             315            -631          2.0269;
    12    0.531             264            -703          2.1419;
    13    0.576             221            -763          2.1758;
    14    0.620             217            -817          2.1200;
    15    0.664             245            -873          2.0275;
    16    0.708             275            -937          1.9942;
    17    0.753             278           -1005          2.0537;
    18    0.797             266           -1071          2.0736;
    19    0.841             258           -1134          2.0629;
    20    0.885             260           -1197          2.0592;
    21    0.930             261           -1259          2.0568;
    22    0.974             261           -1321          2.0568;
    23    1.018             262           -1383          2.0553;
    24    1.063             261           -1445          2.0577;
    25    1.107             262           -1507          2.0559;
    26    1.151             266           -1568          2.0415;
    27    1.195             267           -1630          2.0736;
    28    1.240             264           -1692          2.0522;
    29    1.284             268           -1753          2.0311;
    30    1.328             271           -1814          2.0354;
    31    1.372             269           -1876          2.0495;
    32    1.417             269           -1936          2.0443;
    33    1.461             273           -1997          2.0287;
    34    1.505             274           -2059          2.0351;
    35    1.549             271           -2119          2.0455;
    36    1.594             275           -2179          2.0284;
    37    1.638             278           -2240          2.0284;
    38    1.682             276           -2301          2.0363;
    39    1.727             276           -2360          2.0061;
    40    1.771             280           -2420          2.0201;
    41    1.815             281           -2481          2.0235;
    42    1.859             278           -2541          2.0311;
    43    1.904             281           -2600          2.0162;
    44    1.948             285           -2660          2.0137;
    45    1.992             284           -2720          2.0321;
    46    2.036             282           -2780          2.0220;
    47    2.081             287           -2839          2.0067;
    48    2.125             290           -2898          2.0055;
    49    2.169             287           -2957          2.0183;
    50    2.214             290           -3016          2.0046;
    51    2.258             294           -3076          1.9991;
    52    2.302             294           -3135          2.0018;
    53    2.346             293           -3193          2.0070;
    54    2.391             297           -3252          1.9899;
    55    2.435             299           -3311          1.9936;
    56    2.479             298           -3370          1.9960;
    57    2.523             299           -3428          1.9823;
    58    2.568             303           -3486          1.9802;
    59    2.612             304           -3545          2.0122;
    60    2.656             302           -3603          1.9887;
    61    2.701             307           -3660          1.9713;
    62    2.745             310           -3718          1.9753;
    63    2.789             310           -3776          1.9762;
    64    2.833             310           -3833          1.9762;
    65    2.878             314           -3891          1.9606;
    66    2.922             316           -3948          1.9655;
    67    2.966             313           -4005          1.9704;
    68    3.010             310           -4062         -0.4289;
    69    3.055             201           -4110         -0.0464;
    70    3.099              -2           -4121          0.3449;
    71    3.143            -141           -4086          0.3764;
    72    3.188            -122           -4038          0.0693;
    73    3.232               6           -4010         -0.2515;
    74    3.276             127           -4010         -0.3687;
    75    3.320             158           -4030         -0.2244;
    76    3.365              97           -4046         -0.0217;
    77    3.409               7           -4045          0.1258;
    78    3.453             -40           -4024          0.0958;
    79    3.497             -15           -4002         -0.0498;
    80    3.542              41           -3989         -0.1615;
    81    3.586              76           -3988         -0.1587;
    82    3.630              70           -3990         -0.0864;
    83    3.674              44           -3991         -0.0235;
    84    3.719              23           -3984         -0.0076;
    85    3.763              20           -3974         -0.0595;
    86    3.807              32           -3965         -0.0745;
    87    3.852              41           -3961         -0.0690;
    88    3.896              36           -3956         -0.0501;
    89    3.940              30           -3950         -0.0412;
    90    3.984              32           -3944         -0.0531;
    91    4.029              32           -3938         -0.0531;
    92    4.073              29           -3933         -0.0452;
    93    4.117              32           -3928         -0.0562;
    94    4.161              32           -3923         -0.0537;
    95    4.206              29           -3918         -0.0424;
    96    4.250              30           -3913         -0.0473;
    97    4.294              31           -3909         -0.0531;
    98    4.339              28           -3905         -0.0446;
    99    4.383              26           -3900         -0.0440;
   100    4.427              28           -3895         -0.0464;
   101    4.471              27           -3891         -0.0464;
   102    4.516              25           -3887         -0.0372;
   103    4.560              24           -3883         -0.0406;
   104    4.604              26           -3879         -0.0430;
   105    4.648              24           -3876         -0.0269;
   106    4.693              22           -3872         -0.0372;
   107    4.737              24           -3868         -0.0662;
   108    4.781              23           -3865         -0.0382;
   109    4.826              21           -3862         -0.0317;
   110    4.870              20           -3858         -0.0339;
   111    4.914              20           -3855         -0.0339;
   112    4.958              20           -3852         -0.0333;
   113    5.003              17           -3849         -0.0269;
   114    5.047              17           -3846         -0.0290;
   115    5.091              18           -3843         -0.0299;
   116    5.135              16           -3840         -0.0217;
   117    5.180              14           -3837         -0.0241;
   118    5.224              16           -3834         -0.0266;
   119    5.268              14           -3832         -0.0201;
   120    5.313              12           -3829         -0.0195;
   121    5.357              13           -3826         -0.0214;
   122    5.401              13           -3824         -0.0214;
   123    5.445              10           -3822         -0.0134;
   124    5.490               9           -3819         -0.0156;
   125    5.534               9           -3817         -0.0156;
   126    5.578               9           -3814         -0.0150;
   127    5.622               6           -3812         -0.0064;
   128    5.667               6           -3810         -0.0107;
   129    5.711               6           -3807         -0.0107;
   130    5.755               5           -3806         -0.0037;
   131    5.799               3           -3803         -0.0058;
   132    5.844               5           -3801         -0.0348;
   133    5.888               3           -3799          0.0061;
   134    5.932               1           -3797          0.0012]
