 Sample   Time     Encoder 2 Pos   Encoder 4 Pos   Control Effort 2

[    0    0.000             -39              -3          0.0000;
     1    0.044              70              -5          3.0006;
     2    0.089             349             -55          3.0006;
     3    0.133             640            -173          3.0006;
     4    0.177             771            -342          3.0006;
     5    0.221             672            -516          3.0006;
     6    0.266             411            -645          3.0006;
     7    0.310             152            -712          3.0006;
     8    0.354              57            -734          3.0006;
     9    0.398             176            -759          3.0006;
    10    0.443             423            -828          3.0006;
    11    0.487             650            -953          3.0006;
    12    0.531             720           -1114          3.0006;
    13    0.576             598           -1269          3.0006;
    14    0.620             371           -1382          3.0006;
    15    0.664             179           -1444          3.0006;
    16    0.708             138           -1477          3.0006;
    17    0.753             265           -1520          3.0006;
    18    0.797             475           -1602          3.0006;
    19    0.841             640           -1730          3.0006;
    20    0.885             658           -1880          3.0006;
    21    0.930             534           -2017          3.0006;
    22    0.974             351           -2117          3.0006;
    23    1.018             218           -2178          3.0006;
    24    1.063             217           -2223          3.0006;
    25    1.107             339           -2281          3.0006;
    26    1.151             505           -2375          3.0006;
    27    1.195             610           -2500          3.0006;
    28    1.240             595           -2637          3.0006;
    29    1.284             484           -2757          3.0006;
    30    1.328             349           -2849          3.0006;
    31    1.372             269           -2913          3.0006;
    32    1.417             296           -2971          3.0006;
    33    1.461             404           -3044          3.0006;
    34    1.505             520           -3144          3.0006;
    35    1.549             573           -3265          3.0006;
    36    1.594             540           -3387          3.0006;
    37    1.638             451           -3494          3.0006;
    38    1.682             365           -3580          3.0006;
    39    1.727             337           -3651          3.0006;
    40    1.771             379           -3724          3.0006;
    41    1.815             454           -3811          3.0006;
    42    1.859             515           -3913          3.0006;
    43    1.904             526           -4024          3.0006;
    44    1.948             488           -4132          3.0006;
    45    1.992             434           -4227          3.0006;
    46    2.036             404           -4312          3.0006;
    47    2.081             417           -4395          3.0006;
    48    2.125             449           -4483          3.0006;
    49    2.169             479           -4577          3.0006;
    50    2.214             492           -4677          3.0006;
    51    2.258             481           -4777          3.0006;
    52    2.302             461           -4872          3.0006;
    53    2.346             454           -4963          3.0006;
    54    2.391             463           -5054          3.0006;
    55    2.435             471           -5148          3.0006;
    56    2.479             471           -5241          3.0006;
    57    2.523             470           -5333          3.0006;
    58    2.568             470           -5426          3.0006;
    59    2.612             470           -5518          3.0006;
    60    2.656             473           -5609          3.0006;
    61    2.701             477           -5702          3.0006;
    62    2.745             476           -5794          3.0006;
    63    2.789             475           -5885          3.0006;
    64    2.833             479           -5977          3.0006;
    65    2.878             483           -6068          3.0006;
    66    2.922             482           -6160          3.0006;
    67    2.966             483           -6251          3.0006;
    68    3.010             479           -6342          0.0000;
    69    3.055             333           -6422          0.0000;
    70    3.099              27           -6449          0.0000;
    71    3.143            -247           -6405          0.0000;
    72    3.188            -322           -6317          0.0000;
    73    3.232            -165           -6238          0.0000;
    74    3.276             119           -6213          0.0000;
    75    3.320             358           -6250          0.0000;
    76    3.365             402           -6323          0.0000;
    77    3.409             233           -6381          0.0000;
    78    3.453             -30           -6388          0.0000;
    79    3.497            -225           -6337          0.0000;
    80    3.542            -235           -6261          0.0000;
    81    3.586             -66           -6205          0.0000;
    82    3.630             176           -6196          0.0000;
    83    3.674             336           -6237          0.0000;
    84    3.719             317           -6297          0.0000;
    85    3.763             148           -6333          0.0000;
    86    3.807             -61           -6324          0.0000;
    87    3.852            -182           -6274          0.0000;
    88    3.896            -144           -6213          0.0000;
    89    3.940              22           -6177          0.0000;
    90    3.984             205           -6181          0.0000;
    91    4.029             290           -6220          0.0000;
    92    4.073             233           -6262          0.0000;
    93    4.117              83           -6279          0.0000;
    94    4.161             -65           -6261          0.0000;
    95    4.206            -123           -6215          0.0000;
    96    4.250             -52           -6172          0.0000;
    97    4.294              86           -6154          0.0000;
    98    4.339             203           -6165          0.0000;
    99    4.383             228           -6195          0.0000;
   100    4.427             158           -6219          0.0000;
   101    4.471              42           -6223          0.0000;
   102    4.516             -45           -6198          0.0000;
   103    4.560             -47           -6163          0.0000;
   104    4.604              25           -6138          0.0000;
   105    4.648             117           -6131          0.0000;
   106    4.693             173           -6142          0.0000;
   107    4.737             163           -6160          0.0000;
   108    4.781             101           -6168          0.0000;
   109    4.826              32           -6162          0.0000;
   110    4.870               3           -6141          0.0000;
   111    4.914              27           -6121          0.0000;
   112    4.958              75           -6109          0.0000;
   113    5.003             116           -6107          0.0000;
   114    5.047             127           -6112          0.0000;
   115    5.091             104           -6116          0.0000;
   116    5.135              70           -6114          0.0000;
   117    5.180              53           -6104          0.0000;
   118    5.224              60           -6093          0.0000;
   119    5.268              75           -6085          0.0000;
   120    5.313              85           -6081          0.0000;
   121    5.357              86           -6077          0.0000;
   122    5.401              79           -6073          0.0000;
   123    5.445              72           -6067          0.0000;
   124    5.490              75           -6061          0.0000;
   125    5.534              80           -6055          0.0000;
   126    5.578              77           -6051          0.0000;
   127    5.622              74           -6045          0.0000;
   128    5.667              76           -6039          0.0000;
   129    5.711              77           -6034          0.0000;
   130    5.755              73           -6030          0.0000;
   131    5.799              75           -6024          0.0000;
   132    5.844              77           -6018          0.0000;
   133    5.888              75           -6014          0.0000;
   134    5.932              73           -6009          0.0000]
