 Sample   Time     Encoder 3 Pos   Control Effort 1

[    0    0.000               0          0.0000;
     1    0.009               0          1.8004;
     2    0.018               0          1.8004;
     3    0.027              -0          1.8004;
     4    0.035              -2          1.8004;
     5    0.044              -4          1.8004;
     6    0.053              -7          1.8004;
     7    0.062              -9          1.8004;
     8    0.071             -12          1.8004;
     9    0.080             -16          1.8004;
    10    0.089             -20          1.8004;
    11    0.097             -24          1.8004;
    12    0.106             -28          1.8004;
    13    0.115             -33          1.8004;
    14    0.124             -38          1.8004;
    15    0.133             -43          1.8004;
    16    0.142             -49          1.8004;
    17    0.151             -55          1.8004;
    18    0.159             -61          1.8004;
    19    0.168             -68          1.8004;
    20    0.177             -74          1.8004;
    21    0.186             -81          1.8004;
    22    0.195             -89          1.8004;
    23    0.204             -97          1.8004;
    24    0.213            -105          1.8004;
    25    0.221            -113          1.8004;
    26    0.230            -121          1.8004;
    27    0.239            -130          1.8004;
    28    0.248            -140          1.8004;
    29    0.257            -149          1.8004;
    30    0.266            -159          1.8004;
    31    0.274            -169          1.8004;
    32    0.283            -179          1.8004;
    33    0.292            -190          1.8004;
    34    0.301            -201          1.8004;
    35    0.310            -212          1.8004;
    36    0.319            -223          1.8004;
    37    0.328            -235          1.8004;
    38    0.336            -247          1.8004;
    39    0.345            -259          1.8004;
    40    0.354            -272          1.8004;
    41    0.363            -285          1.8004;
    42    0.372            -297          1.8004;
    43    0.381            -311          1.8004;
    44    0.390            -325          1.8004;
    45    0.398            -338          1.8004;
    46    0.407            -353          1.8004;
    47    0.416            -367          1.8004;
    48    0.425            -382          1.8004;
    49    0.434            -397          1.8004;
    50    0.443            -412          1.8004;
    51    0.452            -428          1.8004;
    52    0.460            -443          1.8004;
    53    0.469            -459          1.8004;
    54    0.478            -476          1.8004;
    55    0.487            -492          1.8004;
    56    0.496            -509          1.8004;
    57    0.505            -526          1.8004;
    58    0.514            -544          1.8004;
    59    0.522            -561          1.8004;
    60    0.531            -579          1.8004;
    61    0.540            -597          1.8004;
    62    0.549            -616          1.8004;
    63    0.558            -635          1.8004;
    64    0.567            -654          1.8004;
    65    0.576            -673          1.8004;
    66    0.584            -693          1.8004;
    67    0.593            -713          1.8004;
    68    0.602            -733          1.8004;
    69    0.611            -753          1.8004;
    70    0.620            -774          1.8004;
    71    0.629            -795          1.8004;
    72    0.638            -817          1.8004;
    73    0.646            -838          1.8004;
    74    0.655            -860          1.8004;
    75    0.664            -882          1.8004;
    76    0.673            -905          1.8004;
    77    0.682            -927          1.8004;
    78    0.691            -950          1.8004;
    79    0.699            -973          1.8004;
    80    0.708            -997          1.8004;
    81    0.717           -1021          1.8004;
    82    0.726           -1045          1.8004;
    83    0.735           -1069          1.8004;
    84    0.744           -1093          1.8004;
    85    0.753           -1118          1.8004;
    86    0.761           -1143          1.8004;
    87    0.770           -1168          1.8004;
    88    0.779           -1194          1.8004;
    89    0.788           -1219          1.8004;
    90    0.797           -1245          1.8004;
    91    0.806           -1271          1.8004;
    92    0.815           -1297          1.8004;
    93    0.823           -1324          1.8004;
    94    0.832           -1351          1.8004;
    95    0.841           -1378          1.8004;
    96    0.850           -1405          1.8004;
    97    0.859           -1433          1.8004;
    98    0.868           -1460          1.8004;
    99    0.877           -1488          1.8004;
   100    0.885           -1516          1.8004;
   101    0.894           -1545          1.8004;
   102    0.903           -1573          1.8004;
   103    0.912           -1602          1.8004;
   104    0.921           -1631          1.8004;
   105    0.930           -1661          1.8004;
   106    0.939           -1690          1.8004;
   107    0.947           -1720          1.8004;
   108    0.956           -1750          1.8004;
   109    0.965           -1780          1.8004;
   110    0.974           -1810          1.8004;
   111    0.983           -1841          1.8004;
   112    0.992           -1872          1.8004;
   113    1.001           -1903          1.8004;
   114    1.009           -1934          1.8004;
   115    1.018           -1965          1.8004;
   116    1.027           -1997          1.8004;
   117    1.036           -2029          1.8004;
   118    1.045           -2061          1.8004;
   119    1.054           -2093          1.8004;
   120    1.063           -2126          1.8004;
   121    1.071           -2159          1.8004;
   122    1.080           -2192          1.8004;
   123    1.089           -2225          1.8004;
   124    1.098           -2258          1.8004;
   125    1.107           -2292          1.8004;
   126    1.116           -2325          1.8004;
   127    1.124           -2360          1.8004;
   128    1.133           -2394          1.8004;
   129    1.142           -2428          1.8004;
   130    1.151           -2463          1.8004;
   131    1.160           -2498          1.8004;
   132    1.169           -2533          1.8004;
   133    1.178           -2569          1.8004;
   134    1.186           -2604          1.8004;
   135    1.195           -2640          1.8004;
   136    1.204           -2676          1.8004;
   137    1.213           -2712          1.8004;
   138    1.222           -2749          1.8004;
   139    1.231           -2785          1.8004;
   140    1.240           -2823          1.8004;
   141    1.248           -2860          1.8004;
   142    1.257           -2897          1.8004;
   143    1.266           -2935          1.8004;
   144    1.275           -2973          1.8004;
   145    1.284           -3011          1.8004;
   146    1.293           -3049          1.8004;
   147    1.302           -3088          1.8004;
   148    1.310           -3127          1.8004;
   149    1.319           -3166          1.8004;
   150    1.328           -3205          1.8004;
   151    1.337           -3245          1.8004;
   152    1.346           -3284          1.8004;
   153    1.355           -3324          1.8004;
   154    1.364           -3364          1.8004;
   155    1.372           -3404          1.8004;
   156    1.381           -3445          1.8004;
   157    1.390           -3485          1.8004;
   158    1.399           -3525          1.8004;
   159    1.408           -3566          1.8004;
   160    1.417           -3607          1.8004;
   161    1.426           -3648          1.8004;
   162    1.434           -3689          1.8004;
   163    1.443           -3731          1.8004;
   164    1.452           -3772          1.8004;
   165    1.461           -3814          1.8004;
   166    1.470           -3856          1.8004;
   167    1.479           -3898          1.8004;
   168    1.488           -3940          1.8004;
   169    1.496           -3982          1.8004;
   170    1.505           -4024          1.8004;
   171    1.514           -4066          1.8004;
   172    1.523           -4109          1.8004;
   173    1.532           -4151          1.8004;
   174    1.541           -4195          1.8004;
   175    1.549           -4238          1.8004;
   176    1.558           -4282          1.8004;
   177    1.567           -4326          1.8004;
   178    1.576           -4370          1.8004;
   179    1.585           -4414          1.8004;
   180    1.594           -4458          1.8004;
   181    1.603           -4503          1.8004;
   182    1.611           -4549          1.8004;
   183    1.620           -4594          1.8004;
   184    1.629           -4639          1.8004;
   185    1.638           -4684          1.8004;
   186    1.647           -4730          1.8004;
   187    1.656           -4776          1.8004;
   188    1.665           -4822          1.8004;
   189    1.673           -4869          1.8004;
   190    1.682           -4915          1.8004;
   191    1.691           -4962          1.8004;
   192    1.700           -5009          1.8004;
   193    1.709           -5056          1.8004;
   194    1.718           -5104          1.8004;
   195    1.727           -5152          1.8004;
   196    1.735           -5200          1.8004;
   197    1.744           -5248          1.8004;
   198    1.753           -5296          1.8004;
   199    1.762           -5345          1.8004;
   200    1.771           -5394          1.8004;
   201    1.780           -5443          1.8004;
   202    1.789           -5492          1.8004;
   203    1.797           -5541          1.8004;
   204    1.806           -5590          1.8004;
   205    1.815           -5640          1.8004;
   206    1.824           -5689          1.8004;
   207    1.833           -5739          1.8004;
   208    1.842           -5789          1.8004;
   209    1.851           -5840          1.8004;
   210    1.859           -5890          1.8004;
   211    1.868           -5941          1.8004;
   212    1.877           -5992          1.8004;
   213    1.886           -6043          1.8004;
   214    1.895           -6094          1.8004;
   215    1.904           -6146          1.8004;
   216    1.913           -6198          1.8004;
   217    1.921           -6250          1.8004;
   218    1.930           -6302          1.8004;
   219    1.939           -6355          1.8004;
   220    1.948           -6408          1.8004;
   221    1.957           -6461          1.8004;
   222    1.966           -6514          1.8004;
   223    1.974           -6567          1.8004;
   224    1.983           -6621          1.8004;
   225    1.992           -6675          1.8004;
   226    2.001           -6729          1.8004;
   227    2.010           -6783          1.8004;
   228    2.019           -6838          1.8004;
   229    2.028           -6892          1.8004;
   230    2.036           -6947          1.8004;
   231    2.045           -7002          1.8004;
   232    2.054           -7058          1.8004;
   233    2.063           -7113          1.8004;
   234    2.072           -7169          1.8004;
   235    2.081           -7225          1.8004;
   236    2.090           -7282          1.8004;
   237    2.098           -7338          1.8004;
   238    2.107           -7395          1.8004;
   239    2.116           -7452          1.8004;
   240    2.125           -7509          1.8004;
   241    2.134           -7567          1.8004;
   242    2.143           -7624          1.8004;
   243    2.152           -7682          1.8004;
   244    2.160           -7740          1.8004;
   245    2.169           -7799          1.8004;
   246    2.178           -7857          1.8004;
   247    2.187           -7916          1.8004;
   248    2.196           -7976          1.8004;
   249    2.205           -8035          1.8004;
   250    2.214           -8094          1.8004;
   251    2.222           -8154          1.8004;
   252    2.231           -8215          1.8004;
   253    2.240           -8275          1.8004;
   254    2.249           -8336          1.8004;
   255    2.258           -8397          1.8004;
   256    2.267           -8459          1.8004;
   257    2.276           -8521          1.8004;
   258    2.284           -8583          1.8004;
   259    2.293           -8645          1.8004;
   260    2.302           -8708          1.8004;
   261    2.311           -8771          1.8004;
   262    2.320           -8834          1.8004;
   263    2.329           -8898          1.8004;
   264    2.338           -8962          1.8004;
   265    2.346           -9026          1.8004;
   266    2.355           -9090          1.8004;
   267    2.364           -9156          1.8004;
   268    2.373           -9221          1.8004;
   269    2.382           -9287          1.8004;
   270    2.391           -9353          1.8004;
   271    2.399           -9418          1.8004;
   272    2.408           -9483          1.8004;
   273    2.417           -9549          1.8004;
   274    2.426           -9617          1.8004;
   275    2.435           -9684          1.8004;
   276    2.444           -9752          1.8004;
   277    2.453           -9821          1.8004;
   278    2.461           -9889          1.8004;
   279    2.470           -9958          1.8004;
   280    2.479          -10028          1.8004;
   281    2.488          -10097          1.8004;
   282    2.497          -10168          1.8004;
   283    2.506          -10238          1.8004;
   284    2.515          -10309          1.8004;
   285    2.523          -10380          1.8004;
   286    2.532          -10451          1.8004;
   287    2.541          -10523          1.8004;
   288    2.550          -10595          1.8004;
   289    2.559          -10668          1.8004;
   290    2.568          -10741          1.8004;
   291    2.577          -10814          1.8004;
   292    2.585          -10888          1.8004;
   293    2.594          -10962          1.8004;
   294    2.603          -11036          1.8004;
   295    2.612          -11111          1.8004;
   296    2.621          -11187          1.8004;
   297    2.630          -11263          1.8004;
   298    2.639          -11339          1.8004;
   299    2.647          -11415          1.8004;
   300    2.656          -11492          1.8004;
   301    2.665          -11569          1.8004;
   302    2.674          -11647          1.8004;
   303    2.683          -11725          1.8004;
   304    2.692          -11803          1.8004;
   305    2.701          -11882          1.8004;
   306    2.709          -11961          1.8004;
   307    2.718          -12040          1.8004;
   308    2.727          -12120          1.8004;
   309    2.736          -12200          1.8004;
   310    2.745          -12281          1.8004;
   311    2.754          -12361          1.8004;
   312    2.763          -12443          1.8004;
   313    2.771          -12525          1.8004;
   314    2.780          -12607          1.8004;
   315    2.789          -12690          1.8004;
   316    2.798          -12773          1.8004;
   317    2.807          -12856          1.8004;
   318    2.816          -12940          1.8004;
   319    2.824          -13024          1.8004;
   320    2.833          -13108          1.8004;
   321    2.842          -13193          1.8004;
   322    2.851          -13279          1.8004;
   323    2.860          -13364          1.8004;
   324    2.869          -13450          1.8004;
   325    2.878          -13537          1.8004;
   326    2.886          -13624          1.8004;
   327    2.895          -13711          1.8004;
   328    2.904          -13798          1.8004;
   329    2.913          -13886          1.8004;
   330    2.922          -13975          1.8004;
   331    2.931          -14063          1.8004;
   332    2.940          -14152          1.8004;
   333    2.948          -14241          1.8004;
   334    2.957          -14331          1.8004;
   335    2.966          -14421          1.8004;
   336    2.975          -14512          1.8004;
   337    2.984          -14602          1.8004;
   338    2.993          -14693          1.8004;
   339    3.002          -14785          1.8004;
   340    3.010          -14877          1.8004;
   341    3.019          -14969          1.8004;
   342    3.028          -15061          1.8004;
   343    3.037          -15154          1.8004;
   344    3.046          -15248          1.8004;
   345    3.055          -15341          1.8004;
   346    3.064          -15436          1.8004;
   347    3.072          -15530          1.8004;
   348    3.081          -15625          1.8004;
   349    3.090          -15720          1.8004;
   350    3.099          -15815          1.8004;
   351    3.108          -15911          1.8004;
   352    3.117          -16007          1.8004;
   353    3.126          -16103          1.8004;
   354    3.134          -16199          1.8004;
   355    3.143          -16296          1.8004;
   356    3.152          -16393          1.8004;
   357    3.161          -16490          1.8004;
   358    3.170          -16587          1.8004;
