 Sample   Time     Encoder 3 Pos   Control Effort 1

[    0    0.000              -1         -0.0079;
     1    0.044              14        -10.0021;
     2    0.089              67        -10.0021;
     3    0.133             155        -10.0021;
     4    0.177             276        -10.0021;
     5    0.221             430        -10.0021;
     6    0.266             615        -10.0021;
     7    0.310             831        -10.0021;
     8    0.354            1079        -10.0021;
     9    0.398            1357        -10.0021;
    10    0.443            1667         -7.2311;
    11    0.487            2008         -3.8916;
    12    0.531            2372         -0.7863;
    13    0.576            2734          1.7970;
    14    0.620            3071          3.7189;
    15    0.664            3368          5.0391;
    16    0.708            3614          5.7494;
    17    0.753            3804          6.0156;
    18    0.797            3939          5.8565;
    19    0.841            4019          5.2805;
    20    0.885            4045          4.3690;
    21    0.930            4026          3.2521;
    22    0.974            3970          2.2637;
    23    1.018            3896          1.3364;
    24    1.063            3812          0.5412;
    25    1.107            3725         -0.1032;
    26    1.151            3644         -0.6206;
    27    1.195            3570         -0.9328;
    28    1.240            3508         -1.1798;
    29    1.284            3459         -1.2885;
    30    1.328            3419         -1.4261;
    31    1.372            3386         -1.5617;
    32    1.417            3360         -1.5900;
    33    1.461            3340         -1.5916;
    34    1.505            3327         -1.5751;
    35    1.549            3320         -1.5281;
    36    1.594            3318         -1.4222;
    37    1.638            3318         -1.4222;
    38    1.682            3321         -1.3410;
    39    1.727            3324         -1.3077;
    40    1.771            3327         -1.2915;
    41    1.815            3329         -1.2976;
    42    1.859            3330         -1.3010;
    43    1.904            3330         -1.3288;
    44    1.948            3330         -1.3288;
    45    1.992            3330         -1.3288;
    46    2.036            3330         -1.3288;
    47    2.081            3330         -1.3214;
    48    2.125            3331         -1.2833;
    49    2.169            3333         -1.2210;
    50    2.214            3336         -1.2292;
    51    2.258            3338         -1.2201;
    52    2.302            3340         -1.2109;
    53    2.346            3341         -1.2427;
    54    2.391            3341         -1.2427;
    55    2.435            3341         -1.2427;
    56    2.479            3341         -1.2427;
    57    2.523            3341         -1.2427;
    58    2.568            3341         -1.2427;
    59    2.612            3340         -1.2543;
    60    2.656            3340         -1.2543;
    61    2.701            3340         -1.2543;
    62    2.745            3340         -1.2543;
    63    2.789            3340         -1.2543;
    64    2.833            3340         -1.2543;
    65    2.878            3340         -1.2543;
    66    2.922            3340         -1.2543;
    67    2.966            3341         -1.2463;
    68    3.010            3343         -1.1691;
    69    3.055            3347         -1.1151;
    70    3.099            3350         -1.1035;
    71    3.143            3353         -1.1044;
    72    3.188            3353         -1.1490;
    73    3.232            3353         -1.1490;
    74    3.276            3349         -1.2585;
    75    3.320            3346         -1.2897;
    76    3.365            3342         -1.3092;
    77    3.409            3340         -1.2979;
    78    3.453            3340         -1.2503;
    79    3.497            3340         -1.2503;
    80    3.542            3342         -1.2387;
    81    3.586            3344         -1.1545;
    82    3.630            3348         -1.1218;
    83    3.674            3350         -1.1151;
    84    3.719            3352         -1.1569;
    85    3.763            3352         -1.1569;
    86    3.807            3352         -1.1569;
    87    3.852            3352         -1.1569;
    88    3.896            3350         -1.2237;
    89    3.940            3347         -1.2424;
    90    3.984            3345         -1.2616;
    91    4.029            3338         10.0021;
    92    4.073            3285         10.0021;
    93    4.117            3180         10.0021;
    94    4.161            3023         10.0021;
    95    4.206            2819         10.0021;
    96    4.250            2573         10.0021;
    97    4.294            2287         10.0021;
    98    4.339            1963          7.8504;
    99    4.383            1601          4.2308;
   100    4.427            1208          0.6893;
   101    4.471             811         -2.2106;
   102    4.516             436         -4.4774;
   103    4.560             102         -6.0366;
   104    4.604            -180         -7.0980;
   105    4.648            -410         -7.7842;
   106    4.693            -589         -8.0778;
   107    4.737            -723         -8.2115;
   108    4.781            -818         -8.0778;
   109    4.826            -872         -7.6465;
   110    4.870            -889         -7.0092;
   111    4.914            -868         -5.9753;
   112    4.958            -811         -4.7482;
   113    5.003            -724         -3.4591;
   114    5.047            -614         -2.2033;
   115    5.091            -492         -1.1099;
   116    5.135            -368         -0.1737;
   117    5.180            -249          0.5696;
