 Sample   Time     Encoder 2 Pos   Encoder 4 Pos   Control Effort 2

[    0    0.000             -39              11          0.0699;
     1    0.044              39               7          2.2082;
     2    0.089             239             -31          1.7506;
     3    0.133             406            -113          1.6105;
     4    0.177             428            -218          1.8440;
     5    0.221             321            -312          2.1749;
     6    0.266             186            -375          2.3788;
     7    0.310             123            -414          2.3239;
     8    0.354             169            -451          2.0888;
     9    0.398             267            -505          1.8834;
    10    0.443             335            -580          1.8620;
    11    0.487             329            -662          1.9908;
    12    0.531             278            -735          2.1190;
    13    0.576             230            -797          2.1709;
    14    0.620             217            -851          2.1310;
    15    0.664             242            -906          2.0345;
    16    0.708             277            -968          1.9802;
    17    0.753             290           -1036          1.9982;
    18    0.797             277           -1103          2.0586;
    19    0.841             265           -1167          2.0623;
    20    0.885             264           -1229          2.0528;
    21    0.930             267           -1291          2.0421;
    22    0.974             271           -1354          2.0351;
    23    1.018             274           -1417          2.0345;
    24    1.063             271           -1480          2.0388;
    25    1.107             269           -1542          2.0446;
    26    1.151             273           -1604          2.0238;
    27    1.195             277           -1667          2.0250;
    28    1.240             273           -1729          2.0437;
    29    1.284             273           -1790          2.0104;
    30    1.328             278           -1851          2.0232;
    31    1.372             277           -1914          2.0305;
    32    1.417             274           -1975          2.0415;
    33    1.461             278           -2035          2.0186;
    34    1.505             282           -2096          2.0229;
    35    1.549             279           -2157          2.0336;
    36    1.594             279           -2218          2.0006;
    37    1.638             284           -2278          2.0119;
    38    1.682             284           -2339          2.0449;
    39    1.727             282           -2399          2.0229;
    40    1.771             286           -2459          2.0101;
    41    1.815             289           -2519          2.0113;
    42    1.859             286           -2579          2.0266;
    43    1.904             288           -2639          2.0137;
    44    1.948             292           -2699          2.0000;
    45    1.992             293           -2759          2.0046;
    46    2.036             290           -2818          2.0125;
    47    2.081             294           -2877          1.9960;
    48    2.125             298           -2937          1.9915;
    49    2.169             296           -2996          1.9988;
    50    2.214             296           -3055          1.9722;
    51    2.258             301           -3114          1.9832;
    52    2.302             303           -3174          1.9881;
    53    2.346             300           -3232          1.9966;
    54    2.391             303           -3291          1.9832;
    55    2.435             307           -3350          1.9759;
    56    2.479             306           -3409          1.9823;
    57    2.523             306           -3467          1.9557;
    58    2.568             310           -3525          1.9695;
    59    2.612             313           -3584          1.9716;
    60    2.656             311           -3642          1.9741;
    61    2.701             313           -3699          1.9573;
    62    2.745             318           -3757          1.9557;
    63    2.789             317           -3815          1.9615;
    64    2.833             317           -3873          1.9640;
    65    2.878             321           -3930          1.9530;
    66    2.922             325           -3988          1.9487;
    67    2.966             322           -4046          1.9661;
    68    3.010             320           -4103         -0.5449;
    69    3.055             219           -4151         -0.1111;
    70    3.099              17           -4165          0.3040;
    71    3.143            -130           -4133          0.3776;
    72    3.188            -121           -4085          0.1001;
    73    3.232               3           -4054         -0.2363;
    74    3.276             129           -4052         -0.3813;
    75    3.320             167           -4072         -0.2628;
    76    3.365             110           -4089         -0.0586;
    77    3.409              22           -4089          0.1007;
    78    3.453             -29           -4070          0.0995;
    79    3.497             -11           -4048         -0.0433;
    80    3.542              44           -4034         -0.1621;
    81    3.586              83           -4032         -0.1828;
    82    3.630              81           -4035         -0.1041;
    83    3.674              56           -4035         -0.0485;
    84    3.719              34           -4029         -0.0302;
    85    3.763              28           -4020         -0.0461;
    86    3.807              38           -4011         -0.0855;
    87    3.852              48           -4005         -0.0940;
    88    3.896              46           -4001         -0.0705;
    89    3.940              39           -3995         -0.0549;
    90    3.984              40           -3988         -0.0934;
    91    4.029              42           -3983         -0.0693;
    92    4.073              38           -3977         -0.0571;
    93    4.117              40           -3971         -0.0653;
    94    4.161              42           -3966         -0.0693;
    95    4.206              38           -3961         -0.0543;
    96    4.250              36           -3955         -0.0595;
    97    4.294              39           -3950         -0.0696;
    98    4.339              38           -3945         -0.0659;
    99    4.383              34           -3940         -0.0528;
   100    4.427              36           -3935         -0.0586;
   101    4.471              38           -3930         -0.0626;
   102    4.516              34           -3925         -0.0516;
   103    4.560              32           -3920         -0.0501;
   104    4.604              35           -3916         -0.0620;
   105    4.648              34           -3911         -0.0592;
   106    4.693              31           -3907         -0.0443;
   107    4.737              32           -3901         -0.0519;
   108    4.781              34           -3897         -0.0562;
   109    4.826              31           -3893         -0.0452;
   110    4.870              28           -3889         -0.0421;
   111    4.914              31           -3884         -0.0553;
   112    4.958              32           -3880         -0.0528;
   113    5.003              27           -3876         -0.0366;
   114    5.047              27           -3872         -0.0452;
   115    5.091              30           -3868         -0.0543;
   116    5.135              27           -3864         -0.0305;
   117    5.180              24           -3860         -0.0342;
   118    5.224              26           -3855         -0.0479;
   119    5.268              26           -3852         -0.0461;
   120    5.313              23           -3848         -0.0314;
   121    5.357              23           -3844         -0.0653;
   122    5.401              25           -3840         -0.0452;
   123    5.445              23           -3837         -0.0330;
   124    5.490              20           -3833         -0.0287;
   125    5.534              22           -3829         -0.0485;
   126    5.578              22           -3826         -0.0394;
   127    5.622              19           -3822         -0.0253;
   128    5.667              18           -3818         -0.0296;
   129    5.711              21           -3815         -0.0354;
   130    5.755              19           -3812         -0.0321;
   131    5.799              16           -3809         -0.0250;
   132    5.844              17           -3805         -0.0287;
   133    5.888              19           -3802         -0.0311;
   134    5.932              15           -3799         -0.0174]
