 Sample   Time     Encoder 2 Pos   Encoder 4 Pos   Control Effort 2

[    0    0.000             -52               7          0.0913;
     1    0.044              30               2          2.1862;
     2    0.089             230             -36          1.7497;
     3    0.133             395            -120          1.6410;
     4    0.177             413            -225          1.8794;
     5    0.221             305            -319          2.2143;
     6    0.266             174            -382          2.3944;
     7    0.310             117            -421          2.3199;
     8    0.354             164            -459          2.0839;
     9    0.398             260            -514          1.8965;
    10    0.443             323            -589          1.8932;
    11    0.487             315            -670          2.0223;
    12    0.531             266            -743          2.1395;
    13    0.576             222            -804          2.1752;
    14    0.620             214            -859          2.1371;
    15    0.664             238            -915          2.0409;
    16    0.708             268            -977          2.0101;
    17    0.753             276           -1044          2.0562;
    18    0.797             265           -1109          2.0739;
    19    0.841             257           -1172          2.0717;
    20    0.885             260           -1233          2.0495;
    21    0.930             261           -1295          2.0568;
    22    0.974             261           -1357          2.0568;
    23    1.018             263           -1418          2.0507;
    24    1.063             262           -1479          2.0559;
    25    1.107             262           -1540          2.0559;
    26    1.151             266           -1600          2.0424;
    27    1.195             268           -1662          2.0452;
    28    1.240             266           -1722          2.0504;
    29    1.284             268           -1782          2.0336;
    30    1.328             271           -1842          2.0366;
    31    1.372             270           -1903          2.0528;
    32    1.417             269           -1963          2.0449;
    33    1.461             273           -2022          2.0278;
    34    1.505             275           -2082          2.0296;
    35    1.549             273           -2142          2.0430;
    36    1.594             275           -2201          2.0232;
    37    1.638             279           -2260          2.0220;
    38    1.682             279           -2320          2.0275;
    39    1.727             277           -2379          2.0351;
    40    1.771             281           -2438          2.0159;
    41    1.815             284           -2498          2.0131;
    42    1.859             282           -2557          2.0266;
    43    1.904             283           -2615          2.0208;
    44    1.948             287           -2674          2.0067;
    45    1.992             288           -2734          2.0119;
    46    2.036             286           -2792          2.0192;
    47    2.081             290           -2851          2.0034;
    48    2.125             293           -2909          1.9982;
    49    2.169             292           -2968          2.0061;
    50    2.214             292           -3027          2.0061;
    51    2.258             296           -3085          1.9902;
    52    2.302             298           -3144          1.9951;
    53    2.346             296           -3202          2.0031;
    54    2.391             298           -3260          1.9863;
    55    2.435             302           -3318          1.9820;
    56    2.479             302           -3376          1.9893;
    57    2.523             302           -3434          1.9628;
    58    2.568             305           -3492          1.9765;
    59    2.612             307           -3550          1.9802;
    60    2.656             305           -3608          1.9942;
    61    2.701             308           -3666          1.9689;
    62    2.745             312           -3723          1.9676;
    63    2.789             312           -3782          1.9719;
    64    2.833             311           -3839          1.9744;
    65    2.878             315           -3896          1.9579;
    66    2.922             317           -3954          1.9637;
    67    2.966             316           -4012          1.9661;
    68    3.010             313           -4069         -0.4490;
    69    3.055             205           -4117         -0.0491;
    70    3.099               2           -4129          0.3413;
    71    3.143            -140           -4096          0.3806;
    72    3.188            -129           -4047          0.0870;
    73    3.232              -0           -4016         -0.2521;
    74    3.276             125           -4016         -0.3681;
    75    3.320             157           -4036         -0.2363;
    76    3.365              96           -4052         -0.0165;
    77    3.409               7           -4052          0.1306;
    78    3.453             -43           -4032          0.1136;
    79    3.497             -23           -4008         -0.0400;
    80    3.542              34           -3996         -0.1548;
    81    3.586              73           -3993         -0.1603;
    82    3.630              68           -3996         -0.0769;
    83    3.674              41           -3997         -0.0183;
    84    3.719              19           -3990         -0.0079;
    85    3.763              16           -3980         -0.0241;
    86    3.807              25           -3971         -0.0638;
    87    3.852              35           -3966         -0.0641;
    88    3.896              32           -3961         -0.0406;
    89    3.940              24           -3956         -0.0321;
    90    3.984              24           -3949         -0.0400;
    91    4.029              27           -3944         -0.0482;
    92    4.073              23           -3938         -0.0317;
    93    4.117              24           -3932         -0.0662;
    94    4.161              25           -3928         -0.0424;
    95    4.206              22           -3923         -0.0250;
    96    4.250              20           -3918         -0.0324;
    97    4.294              22           -3913         -0.0394;
    98    4.339              21           -3909         -0.0348;
    99    4.383              17           -3905         -0.0223;
   100    4.427              18           -3900         -0.0565;
   101    4.471              19           -3897         -0.0342;
   102    4.516              15           -3893         -0.0174;
   103    4.560              13           -3889         -0.0174;
   104    4.604              14           -3885         -0.0232;
   105    4.648              13           -3882         -0.0119;
   106    4.693              10           -3879         -0.0137;
   107    4.737              10           -3876         -0.0159;
   108    4.781              10           -3873         -0.0165;
   109    4.826               8           -3870         -0.0073;
   110    4.870               7           -3867         -0.0107;
   111    4.914               7           -3864         -0.0107;
   112    4.958               6           -3862         -0.0101;
   113    5.003               4           -3860         -0.0024;
   114    5.047               2           -3858         -0.0018;
   115    5.091               2           -3856          0.0143;
   116    5.135               1           -3854          0.0018;
   117    5.180              -2           -3853          0.0095;
   118    5.224              -2           -3850          0.0034;
   119    5.268              -3           -3849          0.0049;
   120    5.313              -5           -3848          0.0125;
   121    5.357              -7           -3846          0.0150;
   122    5.401              -6           -3844          0.0101;
   123    5.445              -8           -3844          0.0150;
   124    5.490             -11           -3843          0.0238;
   125    5.534             -12           -3841          0.0192;
   126    5.578             -12           -3840          0.0198;
   127    5.622             -14           -3840          0.0290;
   128    5.667             -17           -3839          0.0317;
   129    5.711             -16           -3838          0.0266;
   130    5.755             -18           -3837          0.0327;
   131    5.799             -21           -3837          0.0403;
   132    5.844             -22           -3837          0.0357;
   133    5.888             -22           -3836          0.0357;
   134    5.932             -24           -3836          0.0446]
