 Sample   Time     Encoder 2 Pos   Encoder 4 Pos   Control Effort 2

[    0    0.000             -72             110          0.0000;
     1    0.044              23             109          3.0006;
     2    0.089             294              64          3.0006;
     3    0.133             593             -50          3.0006;
     4    0.177             740            -217          3.0006;
     5    0.221             656            -392          3.0006;
     6    0.266             401            -526          3.0006;
     7    0.310             134            -597          3.0006;
     8    0.354              22            -620          3.0006;
     9    0.398             127            -643          3.0006;
    10    0.443             371            -707          3.0006;
    11    0.487             607            -828          3.0006;
    12    0.531             693            -989          3.0006;
    13    0.576             584           -1146          3.0006;
    14    0.620             358           -1263          3.0006;
    15    0.664             155           -1328          3.0006;
    16    0.708             100           -1362          3.0006;
    17    0.753             217           -1402          3.0006;
    18    0.797             427           -1480          3.0006;
    19    0.841             603           -1606          3.0006;
    20    0.885             635           -1756          3.0006;
    21    0.930             519           -1895          3.0006;
    22    0.974             333           -1999          3.0006;
    23    1.018             191           -2062          3.0006;
    24    1.063             177           -2106          3.0006;
    25    1.107             292           -2162          3.0006;
    26    1.151             462           -2252          3.0006;
    27    1.195             578           -2376          3.0006;
    28    1.240             574           -2514          3.0006;
    29    1.284             467           -2637          3.0006;
    30    1.328             328           -2731          3.0006;
    31    1.372             239           -2797          3.0006;
    32    1.417             256           -2854          3.0006;
    33    1.461             361           -2925          3.0006;
    34    1.505             481           -3022          3.0006;
    35    1.549             543           -3142          3.0006;
    36    1.594             517           -3265          3.0006;
    37    1.638             430           -3375          3.0006;
    38    1.682             338           -3462          3.0006;
    39    1.727             303           -3534          3.0006;
    40    1.771             341           -3605          3.0006;
    41    1.815             416           -3690          3.0006;
    42    1.859             482           -3791          3.0006;
    43    1.904             499           -3903          3.0006;
    44    1.948             464           -4011          3.0006;
    45    1.992             408           -4109          3.0006;
    46    2.036             373           -4194          3.0006;
    47    2.081             381           -4276          3.0006;
    48    2.125             414           -4362          3.0006;
    49    2.169             447           -4457          3.0006;
    50    2.214             463           -4556          3.0006;
    51    2.258             454           -4657          3.0006;
    52    2.302             433           -4752          3.0006;
    53    2.346             423           -4844          3.0006;
    54    2.391             429           -4934          3.0006;
    55    2.435             439           -5027          3.0006;
    56    2.479             442           -5120          3.0006;
    57    2.523             441           -5213          3.0006;
    58    2.568             440           -5306          3.0006;
    59    2.612             440           -5398          3.0006;
    60    2.656             443           -5490          3.0006;
    61    2.701             446           -5582          3.0006;
    62    2.745             446           -5674          3.0006;
    63    2.789             445           -5765          3.0006;
    64    2.833             449           -5855          3.0006;
    65    2.878             453           -5947          3.0006;
    66    2.922             453           -6039          3.0006;
    67    2.966             453           -6130          3.0006;
    68    3.010             451           -6221          0.0000;
    69    3.055             317           -6302          0.0000;
    70    3.099              18           -6334          0.0000;
    71    3.143            -264           -6293          0.0000;
    72    3.188            -354           -6206          0.0000;
    73    3.232            -209           -6126          0.0000;
    74    3.276              72           -6097          0.0000;
    75    3.320             318           -6130          0.0000;
    76    3.365             376           -6202          0.0000;
    77    3.409             219           -6262          0.0000;
    78    3.453             -43           -6273          0.0000;
    79    3.497            -246           -6225          0.0000;
    80    3.542            -269           -6150          0.0000;
    81    3.586            -108           -6091          0.0000;
    82    3.630             133           -6078          0.0000;
    83    3.674             302           -6118          0.0000;
    84    3.719             295           -6178          0.0000;
    85    3.763             132           -6215          0.0000;
    86    3.807             -77           -6210          0.0000;
    87    3.852            -206           -6162          0.0000;
    88    3.896            -178           -6101          0.0000;
    89    3.940             -19           -6062          0.0000;
    90    3.984             166           -6064          0.0000;
    91    4.029             260           -6101          0.0000;
    92    4.073             211           -6143          0.0000;
    93    4.117              66           -6162          0.0000;
    94    4.161             -85           -6147          0.0000;
    95    4.206            -149           -6103          0.0000;
    96    4.250             -87           -6059          0.0000;
    97    4.294              49           -6039          0.0000;
    98    4.339             169           -6047          0.0000;
    99    4.383             201           -6077          0.0000;
   100    4.427             135           -6101          0.0000;
   101    4.471              23           -6107          0.0000;
   102    4.516             -67           -6084          0.0000;
   103    4.560             -75           -6050          0.0000;
   104    4.604              -6           -6023          0.0000;
   105    4.648              86           -6016          0.0000;
   106    4.693             143           -6026          0.0000;
   107    4.737             136           -6043          0.0000;
   108    4.781              77           -6052          0.0000;
   109    4.826               8           -6046          0.0000;
   110    4.870             -23           -6026          0.0000;
   111    4.914              -1           -6006          0.0000;
   112    4.958              47           -5994          0.0000;
   113    5.003              87           -5992          0.0000;
   114    5.047              99           -5996          0.0000;
   115    5.091              78           -6000          0.0000;
   116    5.135              44           -5999          0.0000;
   117    5.180              27           -5988          0.0000;
   118    5.224              35           -5978          0.0000;
   119    5.268              50           -5970          0.0000;
   120    5.313              59           -5965          0.0000;
   121    5.357              60           -5962          0.0000;
   122    5.401              53           -5958          0.0000;
   123    5.445              46           -5952          0.0000;
   124    5.490              49           -5945          0.0000;
   125    5.534              54           -5940          0.0000;
   126    5.578              52           -5936          0.0000;
   127    5.622              48           -5930          0.0000;
   128    5.667              50           -5924          0.0000;
   129    5.711              51           -5920          0.0000;
   130    5.755              48           -5914          0.0000;
   131    5.799              48           -5908          0.0000;
   132    5.844              51           -5903          0.0000;
   133    5.888              49           -5899          0.0000;
   134    5.932              47           -5893          0.0000]
