 Sample   Time     Encoder 4 Pos   Control Effort 2

[    0    0.000              60          0.0000;
     1    0.044              55          4.5012;
     2    0.089             -25          4.5012;
     3    0.133            -211          4.5012;
     4    0.177            -474          4.5012;
     5    0.221            -743          4.5012;
     6    0.266            -946          4.5012;
     7    0.310           -1047          4.5012;
     8    0.354           -1077          4.5012;
     9    0.398           -1107          4.5012;
    10    0.443           -1206          4.5012;
    11    0.487           -1396          4.5012;
    12    0.531           -1650          4.5012;
    13    0.576           -1900          4.5012;
    14    0.620           -2086          4.5012;
    15    0.664           -2185          4.5012;
    16    0.708           -2228          4.5012;
    17    0.753           -2278          4.5012;
    18    0.797           -2390          4.5012;
    19    0.841           -2582          4.5012;
    20    0.885           -2823          4.5012;
    21    0.930           -3054          4.5012;
    22    0.974           -3226          4.5012;
    23    1.018           -3325          4.5012;
    24    1.063           -3381          4.5012;
    25    1.107           -3448          4.5012;
    26    1.151           -3574          4.5012;
    27    1.195           -3766          4.5012;
    28    1.240           -3992          4.5012;
    29    1.284           -4205          4.5012;
    30    1.328           -4364          4.5012;
    31    1.372           -4463          4.5012;
    32    1.417           -4531          4.5012;
    33    1.461           -4615          4.5012;
    34    1.505           -4751          4.5012;
    35    1.549           -4941          4.5012;
    36    1.594           -5153          4.5012;
    37    1.638           -5348          4.5012;
    38    1.682           -5496          4.5012;
    39    1.727           -5597          4.5012;
    40    1.771           -5678          4.5012;
    41    1.815           -5781          4.5012;
    42    1.859           -5926          4.5012;
    43    1.904           -6111          4.5012;
    44    1.948           -6309          4.5012;
    45    1.992           -6487          4.5012;
    46    2.036           -6625          4.5012;
    47    2.081           -6730          4.5012;
    48    2.125           -6827          4.5012;
    49    2.169           -6946          4.5012;
    50    2.214           -7098          4.5012;
    51    2.258           -7277          4.5012;
    52    2.302           -7460          4.5012;
    53    2.346           -7623          4.5012;
    54    2.391           -7756          4.5012;
    55    2.435           -7869          4.5012;
    56    2.479           -7981          4.5012;
    57    2.523           -8111          4.5012;
    58    2.568           -8267          4.5012;
    59    2.612           -8438          4.5012;
    60    2.656           -8606          4.5012;
    61    2.701           -8758          4.5012;
    62    2.745           -8890          4.5012;
    63    2.789           -9011          4.5012;
    64    2.833           -9136          4.5012;
    65    2.878           -9275          4.5012;
    66    2.922           -9430          4.5012;
    67    2.966           -9591          4.5012;
    68    3.010           -9747          0.0000;
    69    3.055           -9873          0.0000;
    70    3.099           -9904          0.0000;
    71    3.143           -9820          0.0000;
    72    3.188           -9674          0.0000;
    73    3.232           -9554          0.0000;
    74    3.276           -9526          0.0000;
    75    3.320           -9606          0.0000;
    76    3.365           -9737          0.0000;
    77    3.409           -9836          0.0000;
    78    3.453           -9842          0.0000;
    79    3.497           -9750          0.0000;
    80    3.542           -9618          0.0000;
    81    3.586           -9525          0.0000;
    82    3.630           -9522          0.0000;
    83    3.674           -9607          0.0000;
    84    3.719           -9723          0.0000;
    85    3.763           -9794          0.0000;
    86    3.807           -9777          0.0000;
    87    3.852           -9682          0.0000;
    88    3.896           -9567          0.0000;
    89    3.940           -9501          0.0000;
    90    3.984           -9519          0.0000;
    91    4.029           -9606          0.0000;
    92    4.073           -9702          0.0000;
    93    4.117           -9746          0.0000;
    94    4.161           -9711          0.0000;
    95    4.206           -9617          0.0000;
    96    4.250           -9523          0.0000;
    97    4.294           -9484          0.0000;
    98    4.339           -9518          0.0000;
    99    4.383           -9599          0.0000;
   100    4.427           -9673          0.0000;
   101    4.471           -9694          0.0000;
   102    4.516           -9644          0.0000;
   103    4.560           -9558          0.0000;
   104    4.604           -9488          0.0000;
   105    4.648           -9470          0.0000;
   106    4.693           -9514          0.0000;
   107    4.737           -9584          0.0000;
   108    4.781           -9634          0.0000;
   109    4.826           -9634          0.0000;
   110    4.870           -9580          0.0000;
   111    4.914           -9508          0.0000;
   112    4.958           -9461          0.0000;
   113    5.003           -9461          0.0000;
   114    5.047           -9505          0.0000;
   115    5.091           -9560          0.0000;
   116    5.135           -9588          0.0000;
   117    5.180           -9572          0.0000;
   118    5.224           -9520          0.0000;
   119    5.268           -9466          0.0000;
   120    5.313           -9440          0.0000;
   121    5.357           -9450          0.0000;
   122    5.401           -9490          0.0000;
   123    5.445           -9526          0.0000;
   124    5.490           -9537          0.0000;
   125    5.534           -9512          0.0000;
   126    5.578           -9469          0.0000;
   127    5.622           -9433          0.0000;
   128    5.667           -9421          0.0000;
   129    5.711           -9436          0.0000;
   130    5.755           -9465          0.0000;
   131    5.799           -9483          0.0000;
   132    5.844           -9481          0.0000;
   133    5.888           -9456          0.0000;
   134    5.932           -9426          0.0000]
