#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321A36A5A
#Date Time: 2025-02-25 14:16:59.789
#Start: 5 Hz
#Stop: 50 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.41258 V
#Offset: -2.66679e-05 V
#Relative: no
#Channel: Channel 2
#Range: 5.49792 V
#Offset: 9.30476e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
5,-20.20982675648408,1.890266916502735,-0.4617764868447551
5.077344962165402,-19.77513267876146,2.001456085976991,-0.475476973504481
5.155886372965276,-19.28926255389482,2.099130432725777,-0.4919879452486633
5.235642740254498,-18.84776845902157,2.199202247640968,-0.5939314820193431
5.316632858185805,-18.34514764255327,2.275661968753884,-0.5857449540090158
5.398875811638549,-17.87111835626634,2.35571370010112,-0.5461676479357465
5.482390980715925,-17.37269754049667,2.454173052896847,-0.7436941540958344
5.567198045311807,-16.87430532454411,2.638586250355015,-0.8178290122617682
5.653316989748195,-16.39827871767083,2.779197555655526,-0.8775749141472886
5.740768107484414,-15.44924329312377,2.975070908092006,-1.132864608967992
5.829572005899158,-14.80876105103878,3.132472926028764,-1.493199987560274
5.91974961114651,-14.17527110003116,3.273564256469786,-1.374578876228739
6.011322173087064,-13.53477779522073,3.438892977937273,-1.363696762862347
6.104311270295356,-12.96023441454138,3.583447708130806,-1.246535918489123
6.198738815144722,-12.52048822702592,3.753410353819885,-1.385624229970388
6.294627058970836,-12.02265084598474,3.923479067842338,-1.444080755781187
6.391998597315118,-11.39889608072928,4.128893186028081,-1.437731063506163
6.490876375249245,-10.85007787579976,4.327144139246363,-1.566733935459467
6.591283692782035,-10.28770069533077,4.531602938845078,-1.549392945203692
6.693244210349966,-9.882418446497214,4.755457187949677,-1.83180327788105
6.796781954392628,-9.554844557209458,4.988557014011443,-1.932091613582287
6.901921323014425,-9.332475335975669,5.245926249243468,-1.914557729548996
7.008687091733851,-9.290602979456873,5.523880824929503,-2.004248956240501
7.117104419321708,-9.54920185797446,5.825623706621413,-2.105990752706255
7.227198853729639,-9.779064985175181,6.138437024733514,-2.063558374094157
7.338996338110347,-10.28651350381555,6.523032811738481,-2.025537963576909
7.45252321693098,-10.91595440207069,6.933997440865499,-2.214163815634038
7.56780624218104,-11.51827634302712,7.354625228777369,-2.237467025305477
7.684872579676356,-12.22793699044819,7.867303085184602,-2.510081241389543
